Kutti,Standard Bangla
ফুন,ফোন
পয়সট্টি,পঁয়ষট্টি
ট্যাকার,টাকার
আপনের,আপনার
ফুনের,ফোনের
লাইগা,জন্য
উপ্রে,উপরে
দিবার,দিতে
পারুম,পারবো
হইলে,হলে
দস,দশ
ট্যাকা,টাকা
আপনে,আপনি
আমারে,আমাকে
দিবেন,দেবেন
করবা,করবে
চাইর,চার
তোমারে,তোমাকে
যহন,যখন
দিয়া,দিয়ে
হালাইছি,ফেলেছি
অহন,এখন
লাগায়,লাগিয়ে
দিছে,দিয়েছে
অ্যাডভেটাইজ,বিজ্ঞাপন
কিল্লাইগা,কেন
কইলা,বললে
ফুনডা,ফোনটা
তুমার,তোমার
দোস্তের,বন্ধুর
বউ,স্ত্রী
চালাইবো,চালাবে
দেও,দাও
কয়,বলে
কয়,কত
করবার,করতে
পারবা,পারবে
অর,ওর
লগে,সাথে
নাইক্কা,নেই
কইরাই,করেই
কিনছি,কিনেছি
কইলো,বলল
বিষ্ষুদবার,বৃহস্পতিবার
দিয়া,দিয়ে
দিব,দেবে
অ্যাক,এক
 হইয়া,হয়ে
গেছেগা,গিয়েছে
আইয়া,এসে
পাডায়,পাঠায়
আমাত্তে,আমার কাছে
তিরিশ,ত্রিশ
লইয়া,নিয়ে
যাইতে,যেতে
দেহায়,দেখায়
দিলে,মনে
কস্ট,কষ্ট
মাগার,কিন্তু
নি,কি
কুনুদিন,কোনোদিন
মানুস,মানুষ
অবি,হবি
খামু,খাব
হ্যায়,সে
অ্যাকখান,একটা
কইরা,করে
বেসি,বেশি
আইবো,আসবে
মুর্গী,মুরগি
বেছি,বেশি
খাওন,খাবার
খাইলে,খেলে
ম্যালা,অনেক
এক্কান,একটা
কতা,কথা
কওনের,বলার
দ্যায়,দেয়
হ্যারে,তাকে
লইয়া,নিয়ে
পড়েন,পড়ুন
এইসব,এসব
দেইখা,দেখে
ব্যাকগুনে,সবাই
কইল,বলল
যাইবেন,যাবেন
করতাম,করব
হ্যারা,তারা
লইয়া,নিয়া
যাইবো,যাবে
কি,কী
অরে,ওকে
তরা,তোরা
বুজস,বুঝিস
কইছি,বলেছি
কইবেন,বলবেন
তরে,তোকে
কিয়ের,কিসের
যাইবার,যেতে
ক,বল
দেহি,দেখি
অ্যাকবার,একবার
তর,তোর
অইবো,হবে
সাড়ি,শাড়ি
পিন্দা,পরে
অহনই,এখনই
হগলডি,সব
লইতে,নিতে
আইচ্ছা,আচ্ছা
কতায়,কথায়
অ্যাকবারে,একবারে
কইতাছি,বলছি
গোস্সা,রাগ
করছে,করেছে
ক্যালা,কেন
বান্দরও,বানরও
অয়া,হয়ে
গ্যাছে,গেছে
এমুন,এমন
ঘাড়ানি,মাইর
ত্যাড়া,বাঁকা
খোমা,মুখ
খালি,শুধু
সিধা,সোজা
বাইর,বের
হইবো,হবে
হিগাইস,শেখাস
লই,নেই
মইদ্দে,মধ্যে
খ্যালাইবি,খেলাবি
মাইনসের,মানুষের
বাড়িত,বাড়িতে
ফালাইবি,ফেলবি
মাইনসে,মানুষ
কিচ্ছু,কিছু
কইবো,বলবে
বইয়া,বসে
থাকবো,থাকবে
নি,নাকি
অই,এই
খাড়া,দাড়া
কইবার,বলতে
ভাঙছি,ভেঙেছি
দ্যাখ,দেখ
গেছি,গিয়েছি
ক্যামনে,কীভাবে
মাফ,ক্ষমা
গোসসা,রাগ
বহুত,অনেক
জ্বালা,কষ্ট
ড্যাগ,ডেকচি
ভাঙছস,ভেঙেছিস
খোমায়,মুখে
বাড়ি,আঘাত
বেসি,বেশী
ফাও,অপ্রয়োজনীয়
প্যাচাল,কথা
পাড়বা,বলবে
কইলাম,বললাম
কইয়া,বলে
হগলের,সবার
সম্মুখে,সামনে
ইজ্জত,সম্মান
মাইয়ার,মেয়ের
ক্যাডায়,কে
কাম,কাজ
লন,চলুন
হ্যাগোর,তাদের
বাইত্তে,বাড়িতে
জলদি,তাড়াতাড়ি
আহো,আসো
সাব,সাহেব
হুনেন,শুনুন
মাল,মালামাল
পৌছায়,পৌছিয়ে
দিবো,দেবে
কইরেন,করবেন
অইছে,হয়েছে
জলদি,তাড়াতাড়ি
আইনা,এনে
খিলাইবা,খাওয়াবে
বাজান,বাবা
হাল,অবস্থা
পোলার,ছেলের
দ্যাহো,দেখো
কেমতে,কীভাবে
হইলো,হলো
দেইক্কা,দেখে
হুইন্না,শুনে
কস,বলিস
হেইডাই,সেটাই
জানবার,জানতে
চাইতাছি,চাইছি
জিগরি,প্রাণের
দোস্ত,বন্ধু
হ্যার,তার
মাইয়ায়,মেয়ে
আব্বাজান,বাবা
কায়দা,সুযোগ
মতো,মত
পাইয়া,পেয়ে
লাগবো,হবে
তলে,নিচে
গাইড়া,পুঁতে
দিমু,দেব
অ্যাত্ত,এত
গরুডারে,গরুটাকে
গাড়িত,গাড়িতে
আনুম,আনব
পুরা,পুরো
হাডাইয়া,হাটিয়ে
আনছি,এনেছি
কাইলকা,কাল
ঘুমের,ঘুম
থাইকা,থেকে
উইঠাই,উঠেই
দিয়া,দিয়ে
সামতে,সামনে
বানবি,বাঁধবি
মহল্লার,এলাকার
হগল্লেরে,সবাইকে
আমগো,আমাদের
যাওনের,যাওয়ার
লাইগ্গা,জন্য
এগুলা,এগুলো
যাওগা,যাও
হুন,শোন
খাড়ুসটারেও,বদমেজাজিটাকেও
অয়ও,সেও
দিলের,মনের
ভিত্রে,ভেতর
আইয়া,এসে
পড়ছে,পড়েছে
আমগোর,আমাদের
দেহনের,দেখার
আব্বা,বাবা
একখান,একটা
কেমুন,কেমন
অয়,হয়
এমথেই,এমনিতেই
দেখবো,দেখবে
ধ্যাৎ,ধুর
মারুম,মারবো
চুম্মা,চুমু
এক্কেরে,একেবারে
খানদানি,অভিজাত
একখান,একজন
সোন্দর,সুন্দর
লাগতাছে,লাগছে
আপনেরে,আপনাকে
লাখান,মতো
পাঞ্জাবীডায়,পাঞ্জাবীটায়
মানাইছে,মানিয়েছে
কুঁচকাইয়া,কুঁচকে
গ্যাছেগা,গেছে
পাঞ্জাবীডা,পাঞ্জাবীটা
দিলের,হৃদয়ের
বান্দা,মানুষ
আছিল,ছিল
ফইন্নিগো,গরীবদের
মাদাদ,সাহায্য
বাইত্তে,বাড়িতে
ফকির,গরীব
মিসকিনের,মানুষের
ম্যালা,মেলা
জাইতো,যেত
ধইরা,ধরে
খিলাইতাম,খাওয়ায়তাম
পোলা,ছেলে
ভি,ও
দেখছে,দেখেছে
বাপ,বাবা
দাদায়,দাদা
খিলায়া,খাইয়ে
সভাব,স্বভাব
ভিত্রে,মধ্যে
আয়া,এসে
করনের,করার
কোশেশ,চেষ্টা
গ্যালো,আগের
পাসসো,পাঁচশত
মাইনসেরে,মানুষকে
দিছি,দিয়েছি
দিলখোলা,প্রাণখোলা
পাসের,পাশের
না,নই
ঢুকবারই,ঢুকতেই
হিম্মত,সাহস
ফইন্নিরে,ভিক্ষুককে
পিডাইয়া,পিটিয়ে
মাইরাও,মেরেও
ফালাইছে,ফেলেছে
হেইল্লাইগা,এজন্য
করছি,করেছি
এইবার,এবার
বকরি,ঈদুল
ঈদে,আজহায়
পোনারো,পনেরো
সবতে,সবচেয়ে
সবথে,সবচেয়ে
গরুডা,গরুটা
খাওনের,খাওয়ার
নাইক্কা,নি
মিসকিনগো,মিসকিনদের
খাওয়ানের,খাওয়ানোর
এডি,এগুলো
খাওয়ামু,খাওয়াবো
ধুমসে,ইচ্ছেমতো
হগলডিরে,সবাইকে
সহরের,শহরের
হগল,সকল
মিসকিনগোরে,মিসকিনদের
হ,হ্যাঁ
গিয়া,গিয়ে
অইলো,হলো
কামের,কাজের
ওয়াক্তে,সময়
পাওন,পাওয়া
যায়,যায়
আম্মা,মা
ডাকছেন,ডেকেছেন
আছিলি,ছিলি
কই,কোথায়
থাইকাই,থেকেই
কবি,বলবি
কইয়া,বলে
দিতাছি,দিচ্ছি
আমারে,আমকে
কন,বলুন
আহে,আসে
নাই,নি
কেমতে,কীভাবে
কমু,বলব
ওই,এই
এইহানো,এখানে
সুরত,চেহারা
দ্যাহোনের,দেখার
ডাকছি,ডেকেছি
আইজকার,আজ
থন,থেকে
পুরান,পুরানো
লবি,নিবি
নয়া,নতুন
কইলেন,বললেন
তহন,তখন
দিবার,দেওয়ার
অই,ওই
দ্যাখতো,দেখ
পত্রিকাডা,পত্রিকাটা
এট্টু,একটু
খুইল্লা,খুলে
আমাগো,আমাদের
খবরডা,খবরটা
বিয়ান,সকাল
বেলাই,বেলায়ই
উঠছে,উঠেছে
ওইটা,সেটা
দেখবার,দেখার
পড়ছি,পড়েছি
আহোনের,আসার
চাকরিডা,চাকরিটা
লয়,নেয়
যেইডা,যেটা
হেইডার,সেটার
ভিত্রেই,ভেতরেই
আইজকা,আজকে
কন,বলেন
কিচ্ছু,কিছু
বচ্ছর,বছর
ত,তো
জবান,কথা
বিস্সাস,বিশ্বাস
দেওন,দেওয়া
লাগবো,লাগবে
ত,তাহলে
করতাছেন,করছেন
তো,তবেই
পাইবেন,পাবেন
আহেন,আসেন
ভিত্রে,ভেতরে
হুইন্নাই,শুনেই
এমতে,এমন
ডরায়,ভয় পেয়ে
গ্যালে,গেলে
বমু,বসব
এইহানো,এখানে
থাউগা,থাক
লন,নিন
তহন,তখন
বইয়েন,বসবেন
ওইডা,সেটা
জানোন,জানা
পরতিকাডা,পত্রিকাটা
পরতিকার,পত্রিকার
ভিত্রের,ভেতরের
আইজকার,আজকের
যেই,যে
এডভেটাইসডা,বিজ্ঞাপনটা
আইছে,হয়েছে
পইড়া,পড়ে
হুনান,শোনান
হুনেন,শোনেন
একধিরছে,একনাগাড়ে
যুত মত,ঠিকমতো
পইড়েন,পড়বেন
কইলাম,বলে দিলাম
দ্যাহেন,দেখেন
অ্যামনে,এমন
কইলাম,কিন্তু
মুমকিন,সম্ভব
হইবার,হবে
লয়,না
চক্ষুই,চোখই
তক,পর্যন্ত
খতম,শেষ
হেতিরে,ওকে
কান্দন,কান্না
থামাইবার,থামাতে
বুঝবার,বুঝতে
পেরেসানি,কষ্ট
কান্দনের,কান্নার
বাপের,বাবার
সাদি,বিয়ে
উরাইবার,ওড়াতে
জিন্দেগি,জীবন
রঙ্গিন,রঙিন
হইয়া,হয়ে
যাইব,যাবে
থামাইয়া,থামিয়ে
ছেরিডারে,মেয়েটাকে
হাজাইবার,সাজাতে
এইডা,এটা
তাইলে,তাহলে
এইডার,এটার
ঘেরাণ,ঘ্রাণ
হুইঙ্কা,শুঁকে
পেরেসান,পেরেশান
হইতাছেন,হচ্ছেন
হইলাম,হলাম
গিয়া,গিয়ে
আদমি,লোক
বকসিবাজারের,বকশীবাজারের
হুনলাম,শুনলাম
এমনে,এমনি
এমনেই,এমনিই
উইঠা,উঠে
গ্যালো,গেল
পলাইয়া,পালিয়ে
করছিলাম,করেছিলাম
মাইনা,মেনে
নিবার,নিতে
পারলা,পারলে
অনুভূতির,অনুভুতির
নামডা,নামটি
মাষ্টর,মাস্টার
সিনাডা,বুকটা
সাদি,বিয়ে
রিসতা,সম্বন্ধ
মাইয়াডার,মেয়েটির
জিন্দেগীডা,জীবনটা
সুরৎ,চেহারা
আইলো,আসলো
আমগো,আমাদের
পইড়া,পড়ে
হেই,ওই
সক্কালেই,সকালেই
কুনুদিনও,কখনই
ভাইবা,ভেবে
গিয়া,গিয়ে
ভালা পায়,ভালোবাসে
হেইলে,তাহলে
কিল্লাইগা,কেনো
হেন,এখানে
আরামপচন্দ,আরামপ্রিয়
ততো,তত
আর,আরেক
ঢং,অভিনয়
কিস্সার,গল্পের
আমারে,আমাকে
দিবার,দিতে
খাওয়াইয়া,খাইয়ে
লগেই,সাথেই
খুইলা,খুলে
পয়লা,প্রথম
তরে,তোকে
ট্যাহা,টাকা
হইতো,হতো
আইছোস,এসেছিস
ফাটাফাটি,ভাল
কিচ্ছু,কিছুই
বউ,স্ত্রী
দিলের,মনের
হ্যারেও,তাকেও
মাইনসেরতে,মানুষের থেকে
কইরা,করে
জবানে,ভাষায়
ছোডো,ছোটো
দিছি,দিয়েছি
হ্যানোই,ওখানেই
দৌড়াইতাছে,দৌড়াচ্ছে
উল্টাসিধা,উল্টোপাল্টা
চালাইয়া,চালিয়ে
ভালা পাই,ভালবাসি
তে,কাছে
মহব্বত,ভালবাসা
বিস্সাস,বিশ্বাস
কামরার,রুমের
থাহন,থাকা
কুনুদিন,কোনদিন
কত্ত,কতো
খিলানের,খাওয়ানোর
হগলের,সকলের
সাদির,বিয়ের
তাকলিফ,আপত্তি
বহেন,বসুন
নামুমকিন,অসম্ভব
জওয়াব,উত্তর
অইয়া,হয়ে
আকাইম্মা,অকর্মা
পোলায়,ছেলে
মরদগো,পুরুষদের
লইয়া,নিয়ে
ক্ষেইপ্পা,রেগে
গেছিলা,গিয়েছিলে
লেহা,লেখা
খুঁজতাছে,খুঁজছে
মোহাব্বত,ভালবাসা
উঁচা-নিচা,উঁচু-নিচু
কিন্না,কিনে
এত্ত,এতো
ডরে,ভয়ে
বড়োলোক,বড়লোক
চক্ষু,চোখ
ফুরাইয়া,শেষ হয়ে
করবার,কতবার
জ্বালাইয়া,জ্বালিয়ে
বইয়া,বসে
কতা,কথা
মহব্বত,ভালোবাসা
জ্বালাইবা,জ্বালাবে
ছেরি,মেয়ে
ভি,ও
অরে,তাকে
দিল,মন
দিলা,দিলে
হয়া,হয়ে
রোজ,প্রতিদিন
পুলাপাইনে,শিশুরা
ওয়াক্তও,সময়ও
জরুরি,গুরুত্বপূর্ণ
হেন,এখানে
দিয়া,দিয়ে
ভালা,ভাল
জানোয়ার,পশু
করবা,করবে
কৌসিসের,চেষ্টার
আপনেগোর,আপনাদের
মাইয়াও,মেয়েও
সুরতও,চেহারাও
হুনলেই,শুনলেই
বাপেরে,বাবাকে
আইতাছি,আসছি
ভরবো,ভরবে
করমু,করব
সুদ্ধ,শুদ্ধ
চাইরোদিকে,চারিদিকে
কতার,বক্তব্যের
মাইনসের,মানুষের
এত্ত,এত
দিছিলাম,দিয়েছিলাম
আচমকা,হঠাৎ
পোস্টডা,পোস্টটি
সোয়াদ,স্বাদ
যাইয়া,গিয়ে
দৌড়াইতাছে,ছুটছে
রাইতের,রাতের
পাডাইতে,পাঠাতে
হেগোরে,তাদেরকে
দোস্ত,বন্ধু
খোমা,মুখ
ফির,তারপর
কাইট্টা,কেটে
চইলা,চলে
লগেই,সঙ্গে
তোমারে,তোমাকে
পামু,পাবো
বন্দুবান্দবের,বন্ধুবান্ধবের
লাইগা,জন্য
আইছিল,এসেছিল
হেইডা,তা
হ্যানো,সেখানে
হেতিয়ে,সে
খাইবার,খেতে
হুনলে,শুনলে
গেছোস,গেছো
জ্বালায়া,জ্বালিয়ে
ম্যালা,বড্ড
লাইগা,কারণে
বইন,বোন
মাস্টররে,মাস্টারকে
বহেন,বসেন
কুনু,কোনো
কর,করো
লেহার,লেখার
কুনডা,কোনটি
খাড়াইন্না,থেমে
হর,প্রতি
আইজকা,আজ
হ্যার,ওর
​কিচ্ছু,কিছু
যাইতাছিল,যাচ্ছিল
পয়লে,আগে
ভাবসিল,ভেবেছিল
পড়ালেহা,পড়াশোনা
ডাহা,ঢাকা
দিবা,দেবে
কাডেন,কাটেন
বেরেক,বিরতি
হুদ্দা,সহ
মানুস,মানুষ
ডর,ভয়
আপনেরেই,আপনাকেই
পড়নের,পড়ার
আগে,পয়লে
যাগোরে,যাদেরকে
তর,তোমাার
তুলবার,তুলতে
কইলেও,বললেও
ম্যালা,খুবই
ভালা,কিছুর
লগে,সঙ্গে
সিয়াল,শিয়াল
পাইবো,পাবে
বিলাতে,বিদেশে
ফড়ফড়াইস,কথা বলিস
কিল্লাইগা,কেনো
হইতাছেন,হচ্ছেন
বিলাইয়ে,বিড়াল
পার্টি,মক্কেল
জবান,মুখ
সাগরেদগোরে,সাগরেদদের
চরম,প্রচণ্ড
নাইক্কা,নেই
পাডায়,পাঠিয়ে
দিয়া,দিয়ে
দেহুম,দেখবো
গানগুলা,গানগুলো
অ্যার,এর
খালি,ফাঁকা
ত্যাড়াচোরা,আঁকাবাঁকা
অ্যাকখান,একটি
পারতাছে,পারছে
মইদ্দে,মধ্যে
আহে,আসে
তয়,তবে
বাড়ি,বাড়িও
দুইন্নায়,পৃথিবীতে
লয়,হয়
দেয়,দেয়নি
ডাইল,ডাল
হুইয়া,শুয়ে
হেতিরে,তাকে
ইজাজত,অনুমতি
কইতাছি,বলছি
হেই,সে
দ্যাশের,দেশের
হালারে,শালাকে
খাওয়াইবা,খাওয়াবে
আইছত,এসেছিস
বেইজ্জত,অপমান
পাওনের,পাওয়ার
মানায়,মানিয়ে
যহন,যেহেতু
কইতে,বলতে
করতাছিল,করছিলো
সিধাসাদা,সরল
গ্যাছে,গিয়েছে
ফালাইলেন,ফেললেন
মাইয়ারে,কন্যাকে
কইরা,করে
যামু,যাবো
তালাশ,খোঁজ
কিচ্ছু,কিছু
হুনাউক,শোনাক
আবে,আরে
এইদিকে,এদিকে
লও,নাও
মইদ্দেই,মধ্যেই
আবিয়াইত্তা,অবিবাহিত
ভইরা,ভরে
সসুর,শ্বশুর
তরকারি,সবজি
খুসির,আনন্দের
অইছি,হয়েছি
থোড়া,অল্প
দিলে,হৃদয়ে
হে,তিনি
মুইছা,মুছে
কতাই,কথাই
গলতি,ভুল
উডায়া,উঠিয়ে
ম্যালা,একদিক
দুই নম্বর,দ্বিতীয়
জিন্দা,বেঁচে
এইবারের,এবারের
হের,তার
কুনুভাবেই,কোনোভাবেই
লাগতো,হতো
দিলের,হৃদয়ের
তরে,তোমাকে
কওন,বলা
আব্বায়,আব্বু
পারুম,পারবো
কমু,বলবো
হুইনা,শুনে
হুনতে,শুনতে
ছবিডা,ছবিটি
লাগতাছে,লাগছে
ক্যামতে, কিভাবে
পড়ছি,পড়েছি
আপনেগোরে,আপনাদের
লগে,সাথে
কিসসার,গল্পের
হ্যারেভি,তাকেও
মইরা,মরে
অয়,ও
হক্কলডি,সবগুলো
হগলতের,সবার
গেছিলি,গিয়েছিলি
আসলি,বাস্তব
আমু,আসব
বাঁচবার,বাচঁতে
সাচ্চাডা,সত্যিটা
ভইরা,ভরে
এক্কেরেই,একেবারেই
মানাইবার,মানাতে
কিয়ের,কিসের
কতোডা,কতটা
হইতাছে,হচ্ছে
খাড়াইয়া,দাড়িয়ে
কিল্লাইগা,কিসের জন্য
ছেরিডিরে,মেয়েগুলোকে
খাইতাম,খাব
বুঝবার,বুঝতে
আইজকা,আজকে
থেইকাই,থেকেই
শুকরিয়া,ধন্যবাদ
ঐডা,ওটা
বুঝেনা,বোঝেনা
ম্যালা,প্রচণ্ড
বাঁইচা,বেঁচে
কইবা,বলবে
তে,থেকে
মাস্টোরের,মাস্টারের
গানডা,এই
বেলাতেই,শুরুতেই
অওন,হতে
ঠিক,করলাম
কাটাইয়া,মায়া
কাটবার,কাটতে
অইলো,হল
খুবসুরত,সুন্দর
হেইডাতেই,তাতেই
লাফাইতাছে,লাফিয়ে
একলগে,একসাথে
তরিকা,নিয়ম
হুক্কুর,শুক্র
দুশমন,শত্রু
বইডা,বইটা
দোস্তরে,বন্ধুকে
তয়,তবে
থাহনের,থাকার
অহনো,এখনো
দাওয়াত,নিমন্ত্রণ
নিবো,নেবে
বাপের,বাবার
ভালা,ভালো
কক্ষনো,কখনো
লেইখা,লিখে
অয়,হয়
খাইয়া,খেয়ে
কতা,কথা
আব্বাজান,বাবা
জলদি,তাড়াতাড়ি
কল্লারতে,গলা থেকে
তোসক,তোশক
আমারে,আমাকে
ফির,আবার
নি,কি
হাঁটতাছেন,হাঁটছেন
মাইয়াডারে,মেয়েটাকে
টেকা,টাকা
লইতাছে,নিচ্ছে
বুঝস,বুঝো
এতডাও,এতটাও
হেইডা,সেটা
জামাই,স্বামী
রাইত,রাত
হালায়,সে
করছি,করেছি
পসন্দের,পছন্দের
খেলবার,খেলতে
গ্যাছে,গেছে
তর,তোর
আমারে,আমাকে
ঘুরাইতেছে,ঘোরাচ্ছে
পারন,পারা
খানা,খাবার
এমুন,এরকম
গুলা,গুলো
সময়,ওয়াক্ত
ডরে,ভয়ে
কুনুদিনও,কোনদিনও
বেসি,বেশী
ফুঁক,ফুঁ
দিলে,মনে
বহেন,বসেন
হগল,সব
হইলো,হলো
অন্যরে,অন্যকে
দিয়ালাইছি,দিয়ে ফেলেছি
আছিল,ছিল
বাইরেত্তে,বাইরে থেকে
আইছেন,এসেছেন
হেগো,তাদের
কইতাছি,বলছি
হেইবার,সেইবার
সাচ্চাই,সত্যি
সহরে,শহরে
ভাল্লাগতাছে,ভালো লাগছে
কিবা,কিংবা
মাইয়াডা,মেয়েটি
মোহাব্বত করে,ভালবাসে
নাইক্কা,নাই
ফ্যামিলির,পরিবারের
খাইয়াই,খেয়েই
হালাইবো,ফেলবে
পারুম,পারব
​একলা,একা
দুনিয়ায়,পৃথিবীতে
হইতাছে,হচ্ছে
ভালা পায়,ভালবাসে
বাংলাদ্যাসরে,বাংলাদেশকে
ভালা,ভালো
চাইতাছে,চাইছে
পড়তাছে,পড়ছে
জবানভি,ভাষাও
ভাইয়ে,ভাই
ফিলিম,চলচ্চিত্র
রাখুম,রাখবো
লন,নেন
রান্ধন,রান্না
কইলো,বল্লো
কইজানি,কোথায় যেন
​ভাববার,ভাবার
পেয়ার,আদর
বানানের,বানানোর
ইচ্ছা,ইচ্ছে
লাগত,লাগবে
পাহিডা,পাখিটা
গানডি,গানগুলো
হুনছি,শুনেছি
একখান,একটা
রিসকায়,রিকশায়
ঘুমাইয়া,ঘুমিয়ে
কাইলকা,গতকাল
কিচ্ছু,কিছু
গ্যাছে,গিয়েছে
হাইরা,হেরে
স্যাস,শেষ
দিমু,দেবো
লাগতাছে,লাগছে
মিলাইবেন,মেলাবেন
আওয়া,আসা
আরেট্টু,আরেকটু
মহব্বতের,ভালবাসার
সিরিফ,শুধু
তাগাদার,পাওনা আদায়ের
যামু,যাব
এমতেই,এভাবেই
করবার,করতে
কইতে,বলতে
সাদির,বিয়ের
কানতে,কাঁদতে
গরিব,গরীব
দ্যায়নাই,দেয়নি
করতাছিলা,করছিলে
খেলবার,খেলতে
রিসতা,সম্পর্ক
আরামে,সহজে
পোলারা,ছেলেরা
থাকবার,থাকতে
করন,করা
ঘুরবার,ঘুরতে
কতার,কথার
আইবার,আসতে
লাইগাও,জন্যও
ইয়াদ,মনে
করতাছে,করছে
ঘুমাইবার,ঘুমাতে
লেখছেন,লিখেছেন
আইছেন,এসেছেন
করতাছে,করছে
কইয়ো,বোলো
খেলতাছে,খেলছে
কুনুদিন,কোনোদিন
খাইতে,খেতে
ছেরি,মেয়ে
কন,বলেন
চুলগুলা,চুলগুলি
দ্যান,দিন
সাচ্চা,আসল
বইন,বোন
আইছস,এসেছিস
পাইবা,পাবে
যাওনের,যাবার
ক্যাচাল,ঝগড়া
অয়,হয়
নজরে,চোখে
মোহাব্বতের,প্রেমের
আমারে,আমাকে
হাজানো,সাজানো
কাইব্য,কবিতা
পয়লে,প্রথমে
পাইছত,পেয়েছিস
পড়ন,পড়া
আপনেরভি,আপনারও
ক্যাচাল,ঝগড়া
হেরতে,তার চেয়ে
এহসাস,অনুভুতী
ঘুইরা,ঘুরে
আবাল,বোকা
এইযে,আবে হালায়
আব্বারে,বাবাকে
হওনের,হওয়ার
কুনুদিক,কোনোদিকে
দ্যাখবার,দেখতে
কইবার,বলার
ফির,আবার
বাংলাদ্যাসের,বাংলাদেশের
মাইয়ারা,মেয়েরা
ছুপায়া,গোপনে
দ্যাখছেন,দেখেছেন
ভাবতাছেন,ভাবছেন
রাখবার,রাখতে
নাচবার,নাচতে
ক্যালা,কেন
ঝাড়ি,ঝাড়া
মইদ্দে,মধ্যে
পইড়া,পড়ে
দিমুনে,দেবো
কইবা,বলবা
বউরে,বউকে
আপনরে,নিজেকে
মেহেরবানী,দয়া
কইত্তে,কোথা থেকে
আইছিল,এসেছিল
হালতে,অবস্থায়
ডাক্তর,ডাক্তার
তুইলা,তুলে
যতো,যত
বইডা,বইটা
আসিকরে,প্রেমিককে
ইস্কুলে,বিদ্যালয়ে
দিবার,দিতে
বানাইবার,বানাতে
পোলাপাইনের,ছেলেমেয়েদের
দেহানো,দেখানো
দুইখান,দুটো
সাদীতে,বিয়েতে
ঘুমাইবার,ঘুমাতে
হ্যারপর,তারপর
হইয়াই,হয়েই
গুলার,গুলোর
রঙডা,রঙটি
সুরুডা,শুরুটা
ধরবার,ধরতে
চাইতাছো,চাইছো
ব্যাপারে,বিষয়ে
হুনে,শুনে
সওয়াল,প্রশ্ন
জওয়াব,উত্তর
য্যান,যেন
জামাইয়ের,স্বামীর
লাগে,ধারণা হয়
ফাডাইয়া,ফাটিয়ে
চিজডা,জিনিষটা
পামু,পাবো
অইলো,হলো
দিবার,দিতে
ম্যাচগুলা,ম্যাচগুলি
রাহন,রাখা
আনবার,আনতে
করবার,করতে
পয়সাভি,পয়সাও
দেহানের,দেখানোর
রান্ধন,রান্না
করতাছস,করছিস
হগলডি,প্রতিটি
এমনে,এভাবে
ঘুরাইতাছে,ঘুরাচ্ছে
বুইঝা,বুঝে
চেয়ারডা,চেয়ারটা
হরদম,সারাক্ষণ
সুলা,পরামর্শ
বাউরা,বাচ্চা
পিচ্চি,অল্পবয়সী
ইচা,চিংড়ি